Condition,V_T_step,V_T,R_real,p_one_sided_high_R,p_two_sided_away_from_1
C2,0.25,12.225,0.9275417981924458,0.843,0.3213
C2,0.26,12.71,0.9263901096296435,0.827,0.3484
C2,0.27,13.195,0.9304263059909551,0.7904,0.4037
C2,0.28,13.68,0.9266080533232702,0.7867,0.4287
C2,0.29,14.165,0.791250431722119,0.9908,0.0451
C2,0.3,14.65,0.7983518650060998,0.9803,0.0653
C2,0.31,15.135,0.7982640752859359,0.9704,0.0827
C2,0.32,15.62,0.7806281284336466,0.9712,0.087
C2,0.33,16.105,0.8111125022070271,0.9252,0.1747
C2,0.34,16.59,0.7225422088396601,0.9824,0.0612
C2,0.35,17.075,0.683704763851973,0.9882,0.0575
C2,0.36,17.56,0.6203484542406309,0.9887,0.0506
C2,0.37,18.045,0.5587378230443094,0.995,0.0337
C2,0.38,18.53,0.5347408198472028,0.9942,0.0409
C2,0.39,19.015,0.5027965506763482,0.9928,0.0459
C2,0.4,19.5,0.5416771998055421,0.9804,0.0838
C2,0.41,19.985,0.5209004192235251,0.9735,0.1008
C2,0.42,20.47,0.5209586294878804,0.9646,0.1486
C2,0.43,20.955,0.6412920048786642,0.8789,0.3451
C2,0.44,21.44,0.46315079124067887,0.9543,0.2006
C2,0.45,21.925,0.3907825215595773,0.9673,0.165
C2,0.46,22.41,0.4466346237268137,0.9375,0.2463
C2,0.47,22.895,0.4168822493471792,0.9248,0.3204
C2,0.48,23.38,0.4168822493471792,0.9248,0.3204
C2,0.49,23.865,0.4168822493471792,0.9248,0.3204
C2,0.5,24.35,0.6948847189328151,0.7338,0.802
C2,0.51,24.835,0.6948847189328151,0.7338,0.802
C2,0.52,25.32,0.6948847189328151,0.7338,0.802
C2,0.53,25.805,0.6948847189328151,0.7338,0.802
C2,0.54,26.29,0.5211622540684965,0.8146,0.7558
C3,0.14,6.89,1.0583989906370626,0.0423,0.0677
C3,0.15,7.375,1.0588712654638481,0.0403,0.0646
C3,0.16,7.86,1.0680954589577527,0.0265,0.0394
C3,0.17,8.345,1.039015351346963,0.1211,0.2429
C3,0.18,8.83,1.0655316125433556,0.036,0.0548
C3,0.19,9.315,1.0032904255441828,0.4341,0.9284
C3,0.2,9.8,0.9939074276965763,0.5443,0.8662
C3,0.21,10.285,0.9835013527680097,0.6561,0.6526
C3,0.22,10.77,0.9974905182856773,0.5058,0.9463
C3,0.23,11.255,0.9908698295480187,0.5748,0.8196
C3,0.24,11.74,0.9862415083484092,0.6072,0.7522
C3,0.25,12.225,0.9862798416648436,0.6009,0.757
C3,0.26,12.71,0.9736448843536263,0.7075,0.5576
C3,0.27,13.195,0.9683392968329001,0.7438,0.4964
C3,0.28,13.68,0.9871718504929645,0.58,0.7813
C3,0.29,14.165,1.007008760471825,0.4137,0.8866
C3,0.3,14.65,0.9803967077342917,0.6242,0.7168
C3,0.31,15.135,0.982883312281832,0.5922,0.772
C3,0.32,15.62,1.020161216597042,0.342,0.7417
C3,0.33,16.105,1.0218356749753317,0.3333,0.7254
C3,0.34,16.59,1.019717755159819,0.3476,0.7592
C3,0.35,17.075,1.0097372859345566,0.4108,0.8901
C3,0.36,17.56,0.9912585073416548,0.5191,0.9004
C3,0.37,18.045,0.9986936192501608,0.4807,1.0
C3,0.38,18.53,0.9942023819770617,0.5066,0.9507
C3,0.39,19.015,1.0292465992326474,0.3333,0.7273
C3,0.4,19.5,1.0509977122228846,0.2587,0.567
C3,0.41,19.985,1.0300605063619088,0.349,0.755
C3,0.42,20.47,0.9594744823505367,0.6452,0.6759
C3,0.43,20.955,0.9406980137991853,0.7137,0.551
C3,0.44,21.44,0.9258782592115925,0.7526,0.4817
C3,0.45,21.925,0.9681284394605544,0.5942,0.7828
C3,0.46,22.41,0.9687247559544695,0.5864,0.8013
C3,0.47,22.895,0.9882418003340836,0.5172,0.9221
C3,0.48,23.38,1.0250415234586985,0.3963,0.8569
C3,0.49,23.865,0.9568320670043544,0.6131,0.7403
C3,0.5,24.35,0.939852279679656,0.6604,0.6695
C3,0.51,24.835,0.9007263568493429,0.7597,0.4749
C3,0.52,25.32,0.8740847921977045,0.8133,0.393
C3,0.53,25.805,0.9117095554606988,0.7154,0.5746
C3,0.54,26.29,0.9202162997663272,0.6836,0.6255
C4,0.14,6.89,0.9960112700673593,0.5319,0.903
C4,0.15,7.375,1.0125098339352452,0.337,0.7026
C4,0.16,7.86,0.9851262103779257,0.6614,0.6555
C4,0.17,8.345,1.0294180480965511,0.1951,0.3818
C4,0.18,8.83,1.022817672440315,0.2463,0.4977
C4,0.19,9.315,1.0373959867329134,0.1441,0.2739
C4,0.2,9.8,1.0441557613153694,0.1166,0.221
C4,0.21,10.285,1.050207586173015,0.0969,0.1785
C4,0.22,10.77,1.0002395393156815,0.4753,1.0
C4,0.23,11.255,0.9975472341048391,0.5075,0.9549
C4,0.24,11.74,0.9894340926282271,0.5812,0.8076
C4,0.25,12.225,0.9914542787594928,0.5624,0.8466
C4,0.26,12.71,0.9727020309688958,0.7206,0.5446
C4,0.27,13.195,0.9753182277132938,0.6956,0.5907
C4,0.28,13.68,0.9550295999444345,0.825,0.3601
C4,0.29,14.165,0.9596224434061317,0.788,0.4225
C4,0.3,14.65,0.9735942286912657,0.6756,0.6255
C4,0.31,15.135,0.9754104330801273,0.6518,0.6714
C4,0.32,15.62,1.0082164894951047,0.4236,0.9003
C4,0.33,16.105,1.031045553141615,0.2915,0.6192
C4,0.34,16.59,1.0578824740037829,0.1802,0.3755
C4,0.35,17.075,1.064014355563604,0.1694,0.355
C4,0.36,17.56,1.0859253119983279,0.119,0.2273
C4,0.37,18.045,1.1049906873744262,0.089,0.163
C4,0.38,18.53,1.1417727731080398,0.0536,0.0781
C4,0.39,19.015,1.1759171117612734,0.0362,0.0441
C4,0.4,19.5,1.1540572042403454,0.0519,0.0815
C4,0.41,19.985,1.172908585442328,0.0447,0.0613
C4,0.42,20.47,1.1413656666599814,0.0805,0.1416
C4,0.43,20.955,1.1345333716655954,0.0943,0.1723
C4,0.44,21.44,1.104489079607992,0.1514,0.3245
C4,0.45,21.925,1.1175429814025917,0.1377,0.2873
C4,0.46,22.41,1.035344539061907,0.3536,0.7703
C4,0.47,22.895,1.034945640467526,0.3527,0.7821
C4,0.48,23.38,1.042691131498471,0.3407,0.7463
C4,0.49,23.865,0.8710908313765979,0.8503,0.3169
C4,0.5,24.35,0.8577070132294602,0.8653,0.3008
C4,0.51,24.835,0.8898199283985272,0.7886,0.4301
C4,0.52,25.32,0.946273659997335,0.6306,0.7369
C4,0.53,25.805,0.9640423909728577,0.5798,0.8223
C4,0.54,26.29,0.9338058283180234,0.6532,0.6908
C5,0.14,6.89,0.9616949242682096,0.8777,0.268
C5,0.15,7.375,0.9603976384138405,0.8818,0.2577
C5,0.16,7.86,0.9604057948738753,0.8823,0.2645
C5,0.17,8.345,0.9113209286396129,0.9973,0.0186
C5,0.18,8.83,0.9215400944745843,0.9903,0.0393
C5,0.19,9.315,0.9164776726513348,0.9915,0.0335
C5,0.2,9.8,0.9451265538420405,0.9382,0.1522
C5,0.21,10.285,0.965965747926167,0.8125,0.3828
C5,0.22,10.77,0.9425824257432428,0.9381,0.157
C5,0.23,11.255,0.9471295796495742,0.9142,0.2049
C5,0.24,11.74,0.9638717666349282,0.7982,0.4053
C5,0.25,12.225,0.9564752858372163,0.8359,0.3353
C5,0.26,12.71,0.9644494111575036,0.7753,0.4434
C5,0.27,13.195,0.9388063014489902,0.9097,0.2025
C5,0.28,13.68,0.9389605406519174,0.9004,0.2206
C5,0.29,14.165,0.9311490795592452,0.9201,0.1843
C5,0.3,14.65,0.9359216922443845,0.8904,0.2332
C5,0.31,15.135,0.8960125103467448,0.9743,0.0825
C5,0.32,15.62,0.8642094664723712,0.9937,0.0373
C5,0.33,16.105,0.8444915292039503,0.9974,0.0271
C5,0.34,16.59,0.8682686558457657,0.9857,0.0563
C5,0.35,17.075,0.9155380609871984,0.8985,0.2184
C5,0.36,17.56,0.9398211449881212,0.8032,0.3901
C5,0.37,18.045,0.9028092139319063,0.9081,0.1945
C5,0.38,18.53,0.9041812744137032,0.8938,0.2252
C5,0.39,19.015,0.9049186308197003,0.8839,0.2453
C5,0.4,19.5,0.8902731444333234,0.9057,0.2089
C5,0.41,19.985,0.9333778915504397,0.7672,0.4583
C5,0.42,20.47,0.9235038411483232,0.7832,0.4308
C5,0.43,20.955,0.9282130504326903,0.7571,0.4763
C5,0.44,21.44,0.9493902405852239,0.6709,0.6296
C5,0.45,21.925,0.93968285985633,0.699,0.5944
C5,0.46,22.41,0.8702120317305004,0.8837,0.2576
C5,0.47,22.895,0.9085013027891689,0.7755,0.4445
C5,0.48,23.38,0.8723472348174566,0.8566,0.3147
C5,0.49,23.865,0.9067266044670624,0.7641,0.4814
C5,0.5,24.35,0.9063783420827738,0.7555,0.5081
C5,0.51,24.835,0.9199985197535,0.71,0.5787
C5,0.52,25.32,0.870136243300833,0.8218,0.3751
C5,0.53,25.805,0.8547237787103681,0.8404,0.3523
C5,0.54,26.29,0.8611803904837366,0.8213,0.3883
