Condition,V_T_step,V_T,R_q025,R_q05,R_median,R_q95,R_q975,R_q99
C0,0.14,6.89,0.9470535901716365,0.9543041626932979,1.000543119624528,1.0479451408393061,1.0569886230202095,1.066130761370359
C0,0.15,7.375,0.9463386118774693,0.9533938895984103,1.000689184485856,1.0488174506022214,1.0571844938608872,1.0671083438926223
C0,0.16,7.86,0.9434858539054674,0.951977763812587,1.0008952820141674,1.04938779400434,1.0586132718989436,1.0695216553130968
C0,0.17,8.345,0.9411868921393785,0.9510492238284727,1.0008237500436263,1.0508542339029971,1.0607668083585713,1.0718307664624467
C0,0.18,8.83,0.9404026910305497,0.9494357670773269,1.0011878397923177,1.0516348568546559,1.0616136048438765,1.072835209689619
C0,0.19,9.315,0.9372744423154259,0.9473333972019959,1.0005871658876362,1.0536531587638607,1.0649324262216668,1.0760286679055004
C0,0.2,9.8,0.9340367432703592,0.9456890074637139,1.000927739420028,1.0568593581395278,1.0676256614009147,1.080316994531754
C0,0.21,10.285,0.9335625115726124,0.9441391132933435,1.001293173465451,1.0588376645710846,1.0709131260940647,1.0827422543603076
C0,0.22,10.77,0.9272188820555137,0.940896093428626,1.001476061282531,1.0611992526156104,1.0720925148037879,1.0847779408397493
C0,0.23,11.255,0.9248552650117755,0.9375285872292783,1.0014965573720407,1.0630911334504056,1.075122956244672,1.0909831053453036
C0,0.24,11.74,0.9204775605462772,0.935298530881387,1.001786439757776,1.0662251037436552,1.0796086931381514,1.0946118093165196
C0,0.25,12.225,0.9163122722003673,0.9308598241956941,1.0020103942770662,1.0686437226592636,1.0841922283674077,1.0994162425047953
C0,0.26,12.71,0.9102112826234328,0.9269342859166843,1.0032011677391568,1.071561160281507,1.0851250980440605,1.1031572531740208
C0,0.27,13.195,0.905722626161009,0.9256800008599583,1.0033970620190296,1.0737678868020952,1.0894665224145774,1.1083223148736778
C0,0.28,13.68,0.9029399438706748,0.9202435373953839,1.00367891709885,1.0791552862260307,1.0941105200158732,1.1094555513849471
C0,0.29,14.165,0.8990139806550856,0.9174217081821261,1.0032879824484517,1.0817236764971092,1.0985747814096465,1.11475228528426
C0,0.3,14.65,0.892357582468989,0.9119910038392279,1.0047460535168364,1.0883631621763072,1.1038062401089148,1.1183307111245282
C0,0.31,15.135,0.8856654692882199,0.909329754689643,1.0048605777183846,1.0920526159399024,1.1094689775568427,1.1274219151414424
